visitIDs,site,jsCookies,party
17,lifezette.com,1073.5,right
2,opednews.com,980.5,left
3,newshounds.us,848.5,left
24,dailywire.com,749,right
4,blacklistednews.com,733.5,left
1,spectator.org,710,right
23,nationalreview.com,658,right
32,legalinsurrection.com,598,right
12,thegatewaypundit.com,519,right
118,unionleader.com,489,right
109,rawstory.com,465,left
90,alternet.org,447.5,left
327,bipartisanreport.com,428,left
200,politicalwire.com,421.5,left
5,realclearpolitics.com,413,right
117,usdefensewatch.com,399.5,right
71,twitchy.com,396.5,right
237,freedomfirst.news,386,right
183,conservativeintel.com,372.5,right
79,rickwells.us,362,right
42,realtimepolitics.com,353,left
180,yesimright.com,345,right
13,washingtonexaminer.com,338,right
20,thelibertydaily.com,333.5,right
278,crooksandliars.com,332.5,left
172,secondnexus.com,331.5,left
37,dennismichaellynch.com,322,right
28,pamelageller.com,319,right
39,iotwreport.com,319,right
195,bookwormroom.com,314.5,right
85,thepoliticalinsider.com,301,right
58,trumptrainnews.com,287,right
106,blackandblondemedia.com,285.5,right
9,americasfreedomfighters.com,282.5,right
81,townhall.com,281,right
231,citizenfreepress.com,274.5,right
16,wnd.com,261.5,right
80,theblaze.com,261,right
181,dcgazette.com,255.5,right
26,towleroad.com,236,left
62,washingtontimes.com,227,right
63,amren.com,226,right
350,dailycaller.com,223.5,right
6,sonsoflibertymedia.com,223,right
57,secureamericanow.org,221.5,right
103,newsmax.com,221.5,right
47,thenation.com,213.5,left
100,marklevinshow.com,211.5,right
25,redalertpolitics.com,205.5,right
15,godfatherpolitics.com,198,right
21,freedomoutpost.com,193.5,right
60,heatst.com,192,right
52,powerlineblog.com,191.5,right
29,americanupdate.com,190.5,right
234,thenewsdoctors.com,188,right
56,thecollegefix.com,185.5,right
122,americanactionnews.com,183.5,right
8,hannity.com,180.5,right
22,thenewscommenter.com,179.5,right
83,mrctv.org,175,right
44,thedailysheeple.com,173,right
319,thinkprogress.org,169.5,left
11,eaglerising.com,168.5,right
10,truthandaction.org,164.5,right
49,theblacksphere.net,161,right
41,foreignpolicyjournal.com,156.5,right
69,bigleaguepolitics.com,155.5,right
72,powderedwigsociety.com,155.5,right
70,antiwar.com,152.5,left
36,vidmax.com,150.5,right
165,foxnews.com,149,right
35,nationalmemo.com,146.5,left
290,theconservativetreehouse.com,145,right
